year	county	Planting
1974	adair	129
1974	adams	129
1974	allamakee	131
1974	appanoose	131
1974	audubon	126
1974	benton	131
1974	black hawk	131
1974	boone	128
1974	bremer	131
1974	buchanan	131
1974	buena vista	127
1974	butler	127
1974	calhoun	126
1974	carroll	126
1974	cass	129
1974	cedar	131
1974	cerro gordo	127
1974	cherokee	127
1974	chickasaw	131
1974	clarke	131
1974	clay	127
1974	clayton	131
1974	clinton	131
1974	crawford	126
1974	dallas	128
1974	davis	128
1974	decatur	131
1974	delaware	131
1974	des moines	128
1974	dickinson	127
1974	dubuque	131
1974	emmet	127
1974	fayette	131
1974	floyd	127
1974	franklin	127
1974	fremont	129
1974	greene	126
1974	grundy	128
1974	guthrie	126
1974	hamilton	128
1974	hancock	127
1974	hardin	128
1974	harrison	126
1974	henry	128
1974	howard	131
1974	humboldt	127
1974	ida	126
1974	iowa	131
1974	jackson	131
1974	jasper	128
1974	jefferson	128
1974	johnson	131
1974	jones	131
1974	keokuk	128
1974	kossuth	127
1974	lee	128
1974	linn	131
1974	louisa	128
1974	lucas	131
1974	lyon	127
1974	madison	131
1974	mahaska	128
1974	marion	131
1974	marshall	128
1974	mills	129
1974	mitchell	127
1974	monona	126
1974	monroe	131
1974	montgomery	129
1974	muscatine	131
1974	o brien	127
1974	osceola	127
1974	page	129
1974	palo alto	127
1974	plymouth	127
1974	pocahontas	127
1974	polk	128
1974	pottawattamie	129
1974	poweshiek	128
1974	ringgold	131
1974	sac	126
1974	scott	131
1974	shelby	126
1974	sioux	127
1974	story	128
1974	tama	128
1974	taylor	129
1974	union	131
1974	van buren	128
1974	wapello	128
1974	warren	131
1974	washington	128
1974	wayne	131
1974	webster	128
1974	winnebago	127
1974	winneshiek	131
1974	woodbury	126
1974	worth	127
1974	wright	127
1975	adair	134
1975	adams	134
1975	allamakee	136
1975	appanoose	135
1975	audubon	137
1975	benton	130
1975	black hawk	136
1975	boone	135
1975	bremer	136
1975	buchanan	136
1975	buena vista	138
1975	butler	138
1975	calhoun	137
1975	carroll	137
1975	cass	134
1975	cedar	130
1975	cerro gordo	138
1975	cherokee	138
1975	chickasaw	136
1975	clarke	135
1975	clay	138
1975	clayton	136
1975	clinton	130
1975	crawford	137
1975	dallas	135
1975	davis	132
1975	decatur	135
1975	delaware	136
1975	des moines	132
1975	dickinson	138
1975	dubuque	136
1975	emmet	138
1975	fayette	136
1975	floyd	138
1975	franklin	138
1975	fremont	134
1975	greene	137
1975	grundy	135
1975	guthrie	137
1975	hamilton	135
1975	hancock	138
1975	hardin	135
1975	harrison	137
1975	henry	132
1975	howard	136
1975	humboldt	138
1975	ida	137
1975	iowa	130
1975	jackson	130
1975	jasper	135
1975	jefferson	132
1975	johnson	130
1975	jones	130
1975	keokuk	132
1975	kossuth	138
1975	lee	132
1975	linn	130
1975	louisa	132
1975	lucas	135
1975	lyon	138
1975	madison	135
1975	mahaska	132
1975	marion	135
