county	$mu_{cc}$	$hat(sigma_{cc})$	$mu_{nc}$	$hat(sigma_{nc})$	$pval_{mu}$	$pval_{sigma}$	
1	brant	160.3862653	5.084382649	156.1602063	7.21869902	3.56E-06	4.65E-05
2	bruce	162.3396883	7.294406499	148.6733178	6.656840876	7.58E-31	0.390644832
3	chatham-kent	168.6444748	5.967423818	170.9195205	7.819265462	0.021825988	0.003359778
4	dufferin	161.9675032	5.348764271	144.4131945	6.544896491	8.11E-51	0.004869365
5	elgin	174.3725922	4.628489108	164.0786654	7.056461909	5.10E-25	2.84E-06
6	essex	155.7057701	6.210040812	162.6910899	7.820161527	4.50E-11	0.003860752
7	grey	157.73917	7.246425909	143.0796774	6.937841196	2.86E-33	0.803452807
8	haldimand-norfolk	162.1839172	4.973817132	155.5047113	7.254729642	1.78E-12	1.50E-05
9	halton	152.9390599	4.979513553	144.5477697	7.01131875	2.68E-18	0.000244785
10	hamilton	156.603412	5.380208435	154.6804459	7.168701436	0.033231774	0.001153753
11	hastings	149.9422217	5.13570528	139.8606415	7.074903205	2.07E-23	0.000923789
12	huron	167.5299912	6.483486349	160.6378858	7.193555777	2.04E-11	0.247500401
13	kawartha lakes	156.7368907	5.29555565	144.202663	6.946117125	7.05E-32	0.000961593
14	lambton	155.799958	6.549021687	158.6516175	7.742237689	0.005430954	0.124628249
15	lanark	149.1664252	4.913008615	140.4659577	7.474181964	4.46E-18	6.52E-05
16	leeds-grenville	151.8031316	4.93797775	141.1278938	7.778482913	3.54E-23	5.95E-06
17	lennox-addington	143.9244963	5.295715902	136.6997534	8.275486186	8.02E-12	1.18E-05
18	middlesex	166.3972075	5.877643427	161.3994057	6.948428276	1.25E-07	0.053959974
19	niagara	155.1454222	5.01625916	146.2816029	6.924036404	4.73E-20	0.000283345
20	northumberland	160.3448424	5.930159941	149.0034775	7.495326207	1.32E-24	0.010700698
21	ottawa	156.4365645	4.951800146	148.7219014	6.951079219	2.55E-16	0.003721362
22	oxford	174.5205184	4.60149751	164.7340336	7.551611232	1.33E-21	1.23E-07
23	peel	156.9818391	5.056754361	148.0736832	7.281865107	4.53E-19	4.66E-05
24	perth	173.2995749	5.185067062	162.2265277	7.39567799	2.01E-25	4.26E-05
25	prescott-russell	154.6193957	4.532518236	146.0903017	7.151670705	5.90E-19	0.00016238
26	prince edward	147.5610576	7.075546831	139.5405242	7.647593669	6.54E-13	0.4344245
27	renfrew	144.8553348	4.686799102	137.0198401	6.749491261	1.21E-17	0.000500048
28	simcoe	161.4238864	5.810436971	146.8895893	7.351036126	1.77E-35	0.003349118
29	stormont-dundas-glengarry	157.8325004	4.494639974	149.6463912	8.392644429	9.40E-15	3.76E-09
30	waterloo	166.7848702	4.790985408	155.0679045	7.239307163	9.11E-29	5.92E-06
31	wellington	167.5507568	5.138834502	152.3712298	7.051218405	1.73E-40	1.24E-05
32	york	159.6447593	5.13054935	146.9085945	6.79961569	1.31E-33	0.000377263
		159.0994843	5.437607356	150.6365631	7.278265095		
		8.46292122	-1.840657739				
